,id_stable,Date,Content,ContentClean,n_CapLetters,CapsRatio,AllCapWords,https,Mentions,Location,ReplyCount,RetweetCount,LikeCount,QuoteCount,Hashtags
558,181938,2021-07-28 12:49:03+00:00,"https://t.co/UcoFsOGkwb🏴‍☠️ Let more Afghan interpreters resettle in UK, say ex-military chiefs: More Afghans who worked for British forces should be allowed to resettle in the UK, former military chiefs say. https://t.co/WISWJ2VGXI 𝑭𝑂𝐿𝐿𝑂𝑊 @torysleazeUK https://t.co/nbjuRUXnSu","Let more Afghan interpreters resettle in UK, say ex-military chiefs: More Afghans who worked for British forces should be allowed to resettle in the UK, former military chiefs say. 𝑭𝑂𝐿𝐿𝑂𝑊",15,0.0769230769230769,"UK,, UK,, 𝑭𝑂𝐿𝐿𝑂𝑊","https://t.co/UcoFsOGkwb🏴‍☠️, https://t.co/WISWJ2VGXI, https://t.co/nbjuRUXnSu",@torysleazeUK,BUY ME A COFFEE ❤️,0,6,10,1,No hashtags
418,19189,2022-02-10 21:37:52+00:00,@task_force_argo Ther r millions of frozen &amp; hungry refugees stuck in tents throughout Middle East who do not hav luxury of cell phones &amp; safety . These protestors shud be asking @potus @StateDept to evacuate our Afghan allies left behind. US taxpayer $ shud pay for US resettlement of SIVs first.,Ther r millions of frozen & hungry refugees stuck in tents throughout Middle East who do not hav luxury of cell phones & safety . These protestors shud be asking to evacuate our Afghan allies left behind. US taxpayer $ shud pay for US resettlement of SIVs first.,12,0.0434782608695652,"US, US",,"@task_force_argo, @potus, @StateDept","Texas, USA",0,2,4,0,No hashtags
60,198715,2021-01-03 15:12:46+00:00,"@GunterFehlinger @josattler @JanezLenarcic @sebastiankurz @akk @cem_oezdemir @WKogler @vanderbellen @BP_Plankow Chanting “Allahu akbar” strongly reminds to Islamic jihadists in Bosnia during war, or Afghanistan, Syria....
I used to be refugee and we didn’t looked or behaved like this. https://t.co/lU0ZUEh9Fb","Chanting “Allahu akbar” strongly reminds to Islamic jihadists in Bosnia during war, or Afghanistan, Syria.... I used to be refugee and we didn’t looked or behaved like this.",7,0.0362694300518134,,https://t.co/lU0ZUEh9Fb,"@GunterFehlinger, @josattler, @JanezLenarcic, @sebastiankurz, @akk, @cem_oezdemir, @WKogler, @vanderbellen, @BP_Plankow","Tuzla, BiH",0,0,1,0,No hashtags
998,87106,2021-09-05 23:37:02+00:00,@coco62184624 @SusanRLane @ConceptualJames People of color ARE routinely oppressed. Look at the discussion around Afghan asylum seekers right now.,People of color ARE routinely oppressed. Look at the discussion around Afghan asylum seekers right now.,6,0.055045871559633,ARE,,"@coco62184624, @SusanRLane, @ConceptualJames",Sydney/South Coast/Perth AUS,1,0,0,0,No hashtags
842,136309,2021-08-20 11:24:13+00:00,"The EU's engagement to help those in Afghanistan in need of international protection ""must include expediting visas, supporting safe passage for human rights defenders out of the country including from Kabul airport, providing relocation and resettlement"" https://t.co/RCMmo5vKDV","The EU's engagement to help those in Afghanistan in need of international protection ""must include expediting visas, supporting safe passage for human rights defenders out of the country including from Kabul airport, providing relocation and resettlement""",5,0.0194552529182879,,https://t.co/RCMmo5vKDV,,0x218FC4FE الهجرة المستمرة,0,0,0,0,No hashtags
71,36252,2021-12-08 04:37:09+00:00,"Family Of Afghan Refugee Shot, Killed In San Francisco Seeks Justice https://t.co/Ya9zy9qJCb","Family Of Afghan Refugee Shot, Killed In San Francisco Seeks Justice",11,0.1571428571428571,,https://t.co/Ya9zy9qJCb,,"Washington, DC",0,0,0,0,No hashtags
94,174534,2021-08-13 23:00:01+00:00,"The U.N. refugee agency says nearly 250,000 Afghans have fled their homes since the end of May amid fears the Taliban would reimpose their strict and ruthless interpretation of Islam, all but eliminating women’s rights.

https://t.co/V2F9sdCseW","The U.N. refugee agency says nearly 250,000 Afghans have fled their homes since the end of May amid fears the Taliban would reimpose their strict and ruthless interpretation of Islam, all but eliminating women’s rights.",7,0.0315315315315315,U.N.,https://t.co/V2F9sdCseW,,"Harrisburg, Pennsylvania, USA",0,0,0,0,No hashtags
784,137079,2021-08-20 06:45:36+00:00,First migrant crisis then 2nd wave then afghan crisis. Unforgettable images in my head. 💔,First migrant crisis then 2nd wave then afghan crisis. Unforgettable images in my head. 💔,2,0.0224719101123595,,,,Nagpur,1,0,0,0,No hashtags
281,150845,2021-08-18 01:46:58+00:00,"@abughazalehkat @hautesavings That wasn't his argument at all. His argument is that we can't bring 30k unvetted Afghans here just because they worked with them there. He is making a point that we can't assume that just because they were there at one point helping, that they safe to bring to America. Why lie?","That wasn't his argument at all. His argument is that we can't bring 30k unvetted Afghans here just because they worked with them there. He is making a point that we can't assume that just because they were there at one point helping, that they safe to bring to America. Why lie?",6,0.0212014134275618,,,"@abughazalehkat, @hautesavings",Parler- @findcyndy,0,0,1,0,No hashtags
742,167814,2021-08-16 04:30:08+00:00,Tragic story illustrating the possibility for the thousands left behind now. Seems absolutely crazy no better plans were put in place before withdrawal despite 6 months. Houston is home to many Afghan translators. https://t.co/PV5DnmfZGN,Tragic story illustrating the possibility for the thousands left behind now. Seems absolutely crazy no better plans were put in place before withdrawal despite 6 months. Houston is home to many Afghan translators.,4,0.0186046511627906,,https://t.co/PV5DnmfZGN,,SA-ATX-NY-GT-PTY-HOU,0,6,14,0,No hashtags
702,7571,2022-03-21 18:00:41+00:00,Filmmaker Jonas Poher Rasmussen brings the true story of a young Afghan refugee's journey to a new land in 'Flee.'_  https://t.co/SrlWj6opBX,Filmmaker Jonas Poher Rasmussen brings the true story of a young Afghan refugee's journey to a new land in 'Flee.'_,6,0.0508474576271186,,https://t.co/SrlWj6opBX,,English-speaking,0,0,1,0,No hashtags
895,190375,2021-06-21 13:37:45+00:00,"Pupils @MonSchBoys have been baking and selling traditional biscuits as part of Refugee Week.
Jack and Harry baked Afghan biscuits that sold out in minutes.
Maxwell and Kip baked Syrian biscuits, while Dylan made King of Syrian biscuits and middle-eastern cakes, which sold out. https://t.co/QBdmySmZhU","Pupils have been baking and selling traditional biscuits as part of Refugee Week. Jack and Harry baked Afghan biscuits that sold out in minutes. Maxwell and Kip baked Syrian biscuits, while Dylan made King of Syrian biscuits and middle-eastern cakes, which sold out.",12,0.0444444444444444,,https://t.co/QBdmySmZhU,@MonSchBoys,"Monmouth, South Wales",1,1,14,1,No hashtags
175,119930,2021-08-24 19:39:07+00:00,@tedcruz US has 20 years using and vetting Afghans. Is 20 years not enough or you just don't want them?,US has 20 years using and vetting Afghans. Is 20 years not enough or you just don't want them?,4,0.0416666666666666,US,,@tedcruz,English-speaking,0,1,2,0,No hashtags
673,110833,2021-08-27 00:51:00+00:00,"@ChuckCallesto Dear Callesto,
This's just the beginning !!!

In less than 4 days, the number of HOSTAGES will exceed +/- 6,000 American Citizens, plus +/- 123,000 Special Immigrant Visa Applicants &amp; other AT-RISK Afghans ...

The BEHAVIOR of @SecDef / @thejointstaff is EMBARRASSING  IMMORAL ... https://t.co/kHngY11Zd6","Dear Callesto, This's just the beginning !!! In less than 4 days, the number of HOSTAGES will exceed +/- 6,000 American Citizens, plus +/- 123,000 Special Immigrant Visa Applicants & other AT-RISK Afghans ... The BEHAVIOR of / is EMBARRASSING IMMORAL ...",53,0.1970260223048327,"HOSTAGES, AT-RISK, BEHAVIOR, EMBARRASSING, IMMORAL",https://t.co/kHngY11Zd6,"@ChuckCallesto, @SecDef, @thejointstaff","Palm Beach, FL 33480",5,39,77,2,No hashtags
336,51128,2021-10-23 22:16:01+00:00,"Unvetted foreign nationals do not belong in our communities.

Today I joined @EricShawnTV to discuss the gut wrenching instances that keep occurring at the hands of unvetted Afghan evacuees.

We must pass the SECURE America Act and remove any unvetted evacuees in the U.S. https://t.co/ZxBr7PeMe8",Unvetted foreign nationals do not belong in our communities. Today I joined to discuss the gut wrenching instances that keep occurring at the hands of unvetted Afghan evacuees. We must pass the SECURE America Act and remove any unvetted evacuees in the U.S.,15,0.0570342205323193,"I, SECURE, U.S.",https://t.co/ZxBr7PeMe8,@EricShawnTV,"Montana, USA",29,24,49,3,No hashtags
267,172531,2021-08-15 04:48:40+00:00,"@mehdirhasan So countries from Far regions would come to Afghanistan and play their interesta which effected Pakistan and you expect Pakistan to sit back and do nothing!

Russians started Refugee Problem!",So countries from Far regions would come to Afghanistan and play their interesta which effected Pakistan and you expect Pakistan to sit back and do nothing! Russians started Refugee Problem!,8,0.0414507772020725,,,@mehdirhasan,"Dubai, United Arab Emirates",0,0,0,0,No hashtags
1031,53364,2021-10-18 14:46:22+00:00,"Turkish authorities are summarily pushing Afghan asylum seekers crossing into the country from Iran back to Iran, in violation of international law.","Turkish authorities are summarily pushing Afghan asylum seekers crossing into the country from Iran back to Iran, in violation of international law.",4,0.027027027027027,,,,English-speaking,0,0,0,0,No hashtags
996,45053,2021-11-11 14:00:00+00:00,"""Aid group says 4,000-5,000 Afghans crossing into Iran daily: Norwegian Refugee Council says as many as 300,000 Afghans have crossed the border since the Taliban took power in August."" https://t.co/Ucn5IR8A4f","""Aid group says 4,000-5,000 Afghans crossing into Iran daily: Norwegian Refugee Council says as many as 300,000 Afghans have crossed the border since the Taliban took power in August.""",9,0.0483870967741935,,https://t.co/Ucn5IR8A4f,,"Bloomington, Indiana",0,3,3,0,No hashtags
576,107472,2021-08-28 01:32:21+00:00,"@PennyWaites @RonniSalt And has locked Afghan people up for eight years, for seeking asylum!","And has locked Afghan people up for eight years, for seeking asylum!",2,0.0277777777777777,,,"@PennyWaites, @RonniSalt",English-speaking,0,0,0,0,No hashtags
930,39075,2021-11-29 14:59:07+00:00,"With support from the Obamas, the Bushes, and the Clintons, @welcomeus, a new initiative aimed at mobilizing Americans to help resettle arriving Afghan refugees, is helping unify our country toward the common goal of helping our new Afghan neighbors.
https://t.co/Dw7KS7qYta","With support from the Obamas, the Bushes, and the Clintons, a new initiative aimed at mobilizing Americans to help resettle arriving Afghan refugees, is helping unify our country toward the common goal of helping our new Afghan neighbors.",7,0.0289256198347107,,https://t.co/Dw7KS7qYta,"@welcomeus,","Washington, DC",0,0,0,0,No hashtags
805,105376,2021-08-28 21:28:53+00:00,President of the United States: Petition for Afghan Families to claim Political/Refugee Asylum in the U​.​S. - please Sign the Petition! https://t.co/MUzWxiOIrI via @Change,President of the United States: Petition for Afghan Families to claim Political/Refugee Asylum in the U​.​S. - please Sign the Petition! via,13,0.0902777777777777,U​.​S.,https://t.co/MUzWxiOIrI,@Change,Buffalo NY,0,0,1,0,No hashtags
454,44760,2021-11-12 07:08:41+00:00,@WandaNoqazo @Armchai41757316 @RediTlhabi Maybe you be dead Wanda. Maybe we on the news like Afghanistan. Maybe you a refugee in Zimbabwe? Maybe. Just maybe.,Maybe you be dead Wanda. Maybe we on the news like Afghanistan. Maybe you a refugee in Zimbabwe? Maybe. Just maybe.,8,0.0661157024793388,,,"@WandaNoqazo, @Armchai41757316, @RediTlhabi",South Africa,1,0,0,0,No hashtags
130,167307,2021-08-16 07:04:36+00:00,"@vanOnselenP Missed travelling thru AFG by 3 months 03/80. Millions of Afghan refugees in Baluch and NWF Regions of PAK 80-87. Saw CIA operatives on multiple occasions supplying Mujahideen NWFP. In Dushanbe when Soviets exited ‘89. Multi visits to AFG borders/refugee camps. You, @vanOnselenP?","Missed travelling thru AFG by 3 months 03/80. Millions of Afghan refugees in Baluch and NWF Regions of PAK 80-87. Saw CIA operatives on multiple occasions supplying Mujahideen NWFP. In Dushanbe when Soviets exited ‘89. Multi visits to AFG borders/refugee camps. You,",31,0.1148148148148148,"AFG, NWF, PAK, CIA, NWFP., AFG",,"@vanOnselenP, @vanOnselenP?","Gadigal land, NSW, Australia",0,0,0,0,No hashtags
273,47570,2021-11-02 09:27:26+00:00,"Each of us has family in Afghanistan facing atrocities. Please help us rescue them.

@JoeBiden
@jacindaardern
@JustinTrudeau
@CitimmCanada
@ScottMorrisonMP
@UNHCRIndo
@unhcr
@UNAMAnews
#HazaraRefugees
#Resettle_Hazara_refugees_fm_Indonesia
#HELPREFUGEESININDONESIA",Each of us has family in Afghanistan facing atrocities. Please help us rescue them. #HazaraRefugees #Resettle_Hazara_refugees_fm_Indonesia #HELPREFUGEESININDONESIA,31,0.1722222222222222,,,"@JoeBiden, @jacindaardern, @JustinTrudeau, @CitimmCanada, @ScottMorrisonMP, @UNHCRIndo, @unhcr, @UNAMAnews",English-speaking,0,0,0,0,"['HazaraRefugees', 'Resettle_Hazara_refugees_fm_Indonesia', 'HELPREFUGEESININDONESIA']"
923,2147,2022-04-16 17:19:58+00:00,"Last night, Pakistani warplanes indiscriminately bombed the refugee population in Khost, bordering Afghanistan, due to unrest in Waziristan. First they went missing in Waziristan. They demolished houses. They made IDPs. Why is the world silent on this?
#PakistaniArmyWarCrimes","Last night, Pakistani warplanes indiscriminately bombed the refugee population in Khost, bordering Afghanistan, due to unrest in Waziristan. First they went missing in Waziristan. They demolished houses. They made IDPs. Why is the world silent on this? #PakistaniArmyWarCrimes",17,0.0615942028985507,,,,English-speaking,1,18,16,0,['PakistaniArmyWarCrimes']
547,193617,2021-05-23 08:09:07+00:00,"World: RBE - Western Balkans - Asylum Statistics - Summary of key trends observed, as of 31 May 2020 Countries: Afghanistan, Albania, Algeria, Bosnia and Herzegovina, Cuba, Egypt, Iran (Islamic Republic of), Iraq, Kuwait, Libya, Montenegro, Morocco, oc... https://t.co/pTYYVy44tV https://t.co/m3SDdMLWsI","World: RBE - Western Balkans - Asylum Statistics - Summary of key trends observed, as of 31 May 2020 Countries: Afghanistan, Albania, Algeria, Bosnia and Herzegovina, Cuba, Egypt, Iran (Islamic Republic of), Iraq, Kuwait, Libya, Montenegro, Morocco, oc...",26,0.1003861003861003,RBE,"https://t.co/pTYYVy44tV, https://t.co/m3SDdMLWsI",,World,0,0,0,0,No hashtags
972,108692,2021-08-27 17:59:54+00:00,"@JoyceWhiteVance I was a refugee. Our family was taken to Arkansas and then to Dallas. That’s why I’m a faithful Cowboys fan. I grew up&amp; joined the Army, became a cop &amp; thankful this Country gave us a chance to be part of America.  Afghan refugees will do the same. Trust me, they will give back.","I was a refugee. Our family was taken to Arkansas and then to Dallas. That’s why I’m a faithful Cowboys fan. I grew up& joined the Army, became a cop & thankful this Country gave us a chance to be part of America. Afghan refugees will do the same. Trust me, they will give back.",13,0.0449826989619377,"I, I",,@JoyceWhiteVance,"NorCal, CA",2,9,48,1,No hashtags
232,102329,2021-08-30 12:45:30+00:00,"Interior Minister Sheikh Rashid Ahmed said no Afghan who has arrived in Pakistan as part of evacuation efforts has been given ""refugee status"" yet, stressing that Islamabad has not taken incoming citizens of other countries as refugees.
https://t.co/oXR1ANC4Sw

#AfghanRefugees https://t.co/YOFfuWS27I","Interior Minister Sheikh Rashid Ahmed said no Afghan who has arrived in Pakistan as part of evacuation efforts has been given ""refugee status"" yet, stressing that Islamabad has not taken incoming citizens of other countries as refugees. #AfghanRefugees",10,0.0389105058365758,,"https://t.co/oXR1ANC4Sw, https://t.co/YOFfuWS27I",,Karachi-Pakistan,0,0,2,0,['AfghanRefugees']
482,19674,2022-02-09 03:01:07+00:00,Afghans Protest Slow UN Resettlement Process in Indonesia (+Video) https://t.co/64Scv7UcCL,Afghans Protest Slow UN Resettlement Process in Indonesia (+Video),9,0.1323529411764706,UN,https://t.co/64Scv7UcCL,,All over the world,0,0,0,0,No hashtags
593,120224,2021-08-24 18:14:34+00:00,"Many people are asking what can be done to help those who helped America &amp; its allies in AFG. No One Left Behind is helping Afghan translators resettle in the US. Take a look at their mission and see if a donation is right for you. #NoOneLeftBehind

https://t.co/EUKMOe4Ijl",Many people are asking what can be done to help those who helped America & its allies in AFG. No One Left Behind is helping Afghan translators resettle in the US. Take a look at their mission and see if a donation is right for you. #NoOneLeftBehind,17,0.0666666666666666,"AFG., US.",https://t.co/EUKMOe4Ijl,,Global,0,2,1,0,['NoOneLeftBehind']
22,25826,2022-01-15 10:09:00+00:00,UK 'may' deport boat migrant Afghan who raped and murdered child https://t.co/lQMuEevWop May? #bbcnews #skynews #ITVNews #c4news #BBCaq #GBNews #bbcbreakfast,UK 'may' deport boat migrant Afghan who raped and murdered child May? #bbcnews #skynews #ITVNews #c4news #BBCaq #GBNews #bbcbreakfast,14,0.1037037037037037,UK,https://t.co/lQMuEevWop,,Cotswolds & SW France. ,0,0,1,0,"['bbcnews', 'skynews', 'ITVNews', 'c4news', 'BBCaq', 'GBNews', 'bbcbreakfast']"
882,175671,2021-08-13 01:31:50+00:00,"@Michell17512161 @AdamKinzinger I agree, but the abandonment of translators and Afghan support staff is a national disgrace. Incredible how ""shocked"" people are acting.","I agree, but the abandonment of translators and Afghan support staff is a national disgrace. Incredible how ""shocked"" people are acting.",3,0.0214285714285714,I,,"@Michell17512161, @AdamKinzinger","Santa Fe, NM, USA",1,1,32,0,No hashtags
841,128237,2021-08-22 15:13:25+00:00,"Former Pence Aide Say Trump, Miller Stymied Afghan Refugee Efforts https://t.co/Ki0NLGe7yG: Olivia Troye says Trump &amp; Stephen Miller, his top immigration adviser, sought to prevent Afghan refugees from entering the United States.","Former Pence Aide Say Trump, Miller Stymied Afghan Refugee Efforts Olivia Troye says Trump & Stephen Miller, his top immigration adviser, sought to prevent Afghan refugees from entering the United States.",18,0.0857142857142857,,https://t.co/Ki0NLGe7yG:,,English-speaking,1,2,1,1,No hashtags
185,73940,2021-09-16 09:40:10+00:00,"@HinaSuhaib @AJEnglish I have lived with Afghans for more than 20years of my life. yes there are grateful among them as well but you can't change the minds of those who have even once loathed Pakistan in the life.

I remember Afghan refugee woman sitting in the park saying Pakistan's air is disgusting",I have lived with Afghans for more than 20years of my life. yes there are grateful among them as well but you can't change the minds of those who have even once loathed Pakistan in the life. I remember Afghan refugee woman sitting in the park saying Pakistan's air is disgusting,6,0.0212014134275618,I,,"@HinaSuhaib, @AJEnglish",English-speaking,0,0,1,0,No hashtags
300,172170,2021-08-15 09:24:25+00:00,"The US &amp; UK must offer asylum to all those who oppose the Taliban in Afghanistan, and protect Kabul until they are all out. The West is responsible for what is now happening in Afghanistan.","The US & UK must offer asylum to all those who oppose the Taliban in Afghanistan, and protect Kabul until they are all out. The West is responsible for what is now happening in Afghanistan.",11,0.0569948186528497,"US, UK",,,York,0,0,0,0,No hashtags
828,9726,2022-03-13 12:37:12+00:00,"How better it would have been if we had a better functioning, efficient, non-discriminatory, humane and compassionate asylum system that will also have backup plans and is well-prepared to response to emergency situations such as in Ukraine / Afghanistan...","How better it would have been if we had a better functioning, efficient, non-discriminatory, humane and compassionate asylum system that will also have backup plans and is well-prepared to response to emergency situations such as in Ukraine / Afghanistan...",3,0.0116731517509727,,,,"Stoke on Trent, England ",1,16,67,1,No hashtags
144,54463,2021-10-15 05:49:34+00:00,"In Southern region we have started providing core relief items to 2,675 persons &amp; unconditional cash assistance to 6,416 persons 

We are scaling up our assistance to support displaced people, Afghan refugee returnees and vulnerable members of the host community

#StayAndDeliver https://t.co/7oUsTnDfjw","In Southern region we have started providing core relief items to 2,675 persons & unconditional cash assistance to 6,416 persons We are scaling up our assistance to support displaced people, Afghan refugee returnees and vulnerable members of the host community #StayAndDeliver",7,0.0245614035087719,,https://t.co/7oUsTnDfjw,,"Kabul, Afghanistan",4,13,46,1,['StayAndDeliver']
86,87175,2021-09-05 22:43:40+00:00,"There's something really wrong with the LNP. They love to talk &amp; make out they are tough but behind the scenes they are just a bunch if ignorant bastards. 

As the Taliban overran Afghanistan, Australia told asylum seekers they should expect to return https://t.co/ksPWNYF1lD","There's something really wrong with the LNP. They love to talk & make out they are tough but behind the scenes they are just a bunch if ignorant bastards. As the Taliban overran Afghanistan, Australia told asylum seekers they should expect to return",9,0.0350194552529182,LNP.,https://t.co/ksPWNYF1lD,,Australia,0,0,0,0,No hashtags
1051,18464,2022-02-13 22:04:41+00:00,Well that was a thought provoking evening - Great film if you get the chance . Flee review – an Afghan refugee confronts his past in masterly animated documentary | Animation in film | The Guardian #refugee ⁦@Care4Calais⁩ ⁦@FirstAidSupTeam⁩  https://t.co/ubS9gUrs8T,Well that was a thought provoking evening - Great film if you get the chance . Flee review – an Afghan refugee confronts his past in masterly animated documentary | Animation in film | The Guardian #refugee ⁦ ⁦,7,0.0325581395348837,,https://t.co/ubS9gUrs8T,"@Care4Calais⁩, @FirstAidSupTeam⁩","Cardiff, Wales",0,0,2,0,['refugee']
928,138497,2021-08-19 21:22:27+00:00,A 3 star hotel accommodation in #Sheffield housing #Afghan #refugee whose son fell out of a window needs a review of accommodation being offered to refugees from #Afghanistan on @itvnews ….. really? Lazy journalism!,A 3 star hotel accommodation in #Sheffield housing #Afghan #refugee whose son fell out of a window needs a review of accommodation being offered to refugees from #Afghanistan on ….. really? Lazy journalism!,5,0.0240384615384615,A,,@itvnews,Chesterfield,0,0,1,0,"['Sheffield', 'Afghan', 'refugee', 'Afghanistan']"
10,132517,2021-08-21 07:13:43+00:00,Kent Refugee Action Network need your help to continue their great work supporting young refugees. Many young Afghan refugees are now terrified of being sent back into the hands of Taliban.  @campbellclaret @RoryStewartUK @OpenBritainHQ @natalieben @eddieizzard @crowdfunderuk https://t.co/R01LjjmgXo,Kent Refugee Action Network need your help to continue their great work supporting young refugees. Many young Afghan refugees are now terrified of being sent back into the hands of Taliban.,7,0.034313725490196,,https://t.co/R01LjjmgXo,"@campbellclaret, @RoryStewartUK, @OpenBritainHQ, @natalieben, @eddieizzard, @crowdfunderuk","London, England",1,5,12,0,No hashtags
113,173658,2021-08-14 13:39:48+00:00,New Haven refugee resettlement agency expects to assist hundreds of Afghanis soon https://t.co/QARcP3vS7C,New Haven refugee resettlement agency expects to assist hundreds of Afghanis soon,3,0.036144578313253,,https://t.co/QARcP3vS7C,,English-speaking,0,0,0,0,No hashtags
846,175854,2021-08-12 20:18:08+00:00,"@ChrisMurphyCT when will the Biden administration help get all the Afghanistan translators, who helped our troops, get out before they get slaughtered!!!??? We’re sending troops into Kabul to get embassy folks out but please don’t forget these allies who saved our men &amp; women!","when will the Biden administration help get all the Afghanistan translators, who helped our troops, get out before they get slaughtered!!!??? We’re sending troops into Kabul to get embassy folks out but please don’t forget these allies who saved our men & women!",4,0.0149253731343283,,,@ChrisMurphyCT,"Connecticut, USA",0,0,0,0,No hashtags
611,181572,2021-07-29 16:09:21+00:00,Afghan refugee influx stokes tensions in Turkey https://t.co/yNFP8UmLO0,Afghan refugee influx stokes tensions in Turkey,2,0.0408163265306122,,https://t.co/yNFP8UmLO0,,English-speaking,0,0,0,0,No hashtags
